coord,weather,snow,rain,message,main,description,icon,base,main,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind,clouds,dt,sys,id,country,sunrise,sunset,timezone,id,name,cod
"{'lon': -50.2056, 'lat': -30.1811}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,,,"{'temp': 298.39, 'feels_like': 300.08, 'temp_min': 298.39, 'temp_max': 298.39, 'pressure': 1012, 'humidity': 89, 'sea_level': 1012, 'grnd_level': 1011}",,,stations,"{'temp': 298.39, 'feels_like': 300.08, 'temp_min': 298.39, 'temp_max': 298.39, 'pressure': 1012, 'humidity': 89, 'sea_level': 1012, 'grnd_level': 1011}",,,,,,10000,"{'speed': 5.32, 'deg': 44}",{'all': 99},1612323272,"{'country': 'BR', 'sunrise': 1612342267, 'sunset': 1612390691}",3466165,,,,-10800,3466165,Cidreira,200
,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,404
"{'lon': -139.0333, 'lat': -9.8}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,,"{'temp': 299, 'feels_like': 299.33, 'temp_min': 299, 'temp_max': 299, 'pressure': 1011, 'humidity': 74, 'sea_level': 1011, 'grnd_level': 1003}",,,stations,"{'temp': 299, 'feels_like': 299.33, 'temp_min': 299, 'temp_max': 299, 'pressure': 1011, 'humidity': 74, 'sea_level': 1011, 'grnd_level': 1003}",,,,,,10000,"{'speed': 5.4, 'deg': 102}",{'all': 48},1612323284,"{'country': 'PF', 'sunrise': 1612278871, 'sunset': 1612323914}",4020109,,,,-34200,4020109,Atuona,200
"{'lon': 25.5701, 'lat': -33.918}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 289.15, 'feels_like': 290.42, 'temp_min': 289.15, 'temp_max': 289.15, 'pressure': 1010, 'humidity': 94}",,,stations,"{'temp': 289.15, 'feels_like': 290.42, 'temp_min': 289.15, 'temp_max': 289.15, 'pressure': 1010, 'humidity': 94}",,,,,,10000,"{'speed': 0.51, 'deg': 0}",{'all': 0},1612323271,"{'type': 1, 'id': 1973, 'country': 'ZA', 'sunrise': 1612323682, 'sunset': 1612372901}",964420,,,,7200,964420,Port Elizabeth,200
"{'lon': -134.9692, 'lat': -23.1203}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",,{'1h': 0.19},,"{'temp': 298.93, 'feels_like': 298.17, 'temp_min': 298.93, 'temp_max': 298.93, 'pressure': 1013, 'humidity': 75, 'sea_level': 1013, 'grnd_level': 1010}",,,stations,"{'temp': 298.93, 'feels_like': 298.17, 'temp_min': 298.93, 'temp_max': 298.93, 'pressure': 1013, 'humidity': 75, 'sea_level': 1013, 'grnd_level': 1010}",,,,,,10000,"{'speed': 7.06, 'deg': 123}",{'all': 16},1612323269,"{'country': 'PF', 'sunrise': 1612276829, 'sunset': 1612324005}",4030556,,,,-32400,4030556,Rikitea,200
"{'lon': 39.5131, 'lat': 68.0531}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",{'1h': 0.14},,,"{'temp': 267.04, 'feels_like': 261.67, 'temp_min': 267.04, 'temp_max': 267.04, 'pressure': 1008, 'humidity': 95, 'sea_level': 1008, 'grnd_level': 1006}",,,stations,"{'temp': 267.04, 'feels_like': 261.67, 'temp_min': 267.04, 'temp_max': 267.04, 'pressure': 1008, 'humidity': 95, 'sea_level': 1008, 'grnd_level': 1006}",,,,,,5267,"{'speed': 3.69, 'deg': 70}",{'all': 100},1612323295,"{'country': 'RU', 'sunrise': 1612333897, 'sunset': 1612355993}",556268,,,,10800,556268,Ostrovnoy,200
"{'lon': 20.0403, 'lat': -34.5322}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 286.15, 'feels_like': 286.07, 'temp_min': 286.15, 'temp_max': 286.15, 'pressure': 1012, 'humidity': 94}",,,stations,"{'temp': 286.15, 'feels_like': 286.07, 'temp_min': 286.15, 'temp_max': 286.15, 'pressure': 1012, 'humidity': 94}",,,,,,10000,"{'speed': 1.03, 'deg': 340}",{'all': 0},1612323249,"{'type': 1, 'id': 1966, 'country': 'ZA', 'sunrise': 1612324942, 'sunset': 1612374295}",1015776,,,,7200,1015776,Bredasdorp,200
"{'lon': 71.7189, 'lat': 40.4272}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,,"{'temp': 274.15, 'feels_like': 268.89, 'temp_min': 274.15, 'temp_max': 274.15, 'pressure': 1027, 'humidity': 75}",,,stations,"{'temp': 274.15, 'feels_like': 268.89, 'temp_min': 274.15, 'temp_max': 274.15, 'pressure': 1027, 'humidity': 75}",,,,,,8000,"{'speed': 4.12, 'deg': 160}",{'all': 40},1612323295,"{'type': 1, 'id': 9014, 'country': 'UZ', 'sunrise': 1612318845, 'sunset': 1612355584}",1513491,,,,18000,1513491,Yangi Marg`ilon,200
"{'lon': 45.05, 'lat': -25.1667}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,,"{'temp': 299.47, 'feels_like': 300.9, 'temp_min': 299.47, 'temp_max': 299.47, 'pressure': 1014, 'humidity': 79, 'sea_level': 1014, 'grnd_level': 996}",,,stations,"{'temp': 299.47, 'feels_like': 300.9, 'temp_min': 299.47, 'temp_max': 299.47, 'pressure': 1014, 'humidity': 79, 'sea_level': 1014, 'grnd_level': 996}",,,,,,10000,"{'speed': 4.96, 'deg': 100}",{'all': 12},1612323027,"{'country': 'MG', 'sunrise': 1612319864, 'sunset': 1612367367}",1067565,,,,10800,1067565,Beloha,200
"{'lon': -17.1, 'lat': 32.6667}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,,"{'temp': 286.4, 'feels_like': 285.06, 'temp_min': 284.26, 'temp_max': 288.71, 'pressure': 1017, 'humidity': 78}",,,stations,"{'temp': 286.4, 'feels_like': 285.06, 'temp_min': 284.26, 'temp_max': 288.71, 'pressure': 1017, 'humidity': 78}",,,,,,8936,"{'speed': 1.79, 'deg': 315, 'gust': 3.13}",{'all': 33},1612323298,"{'type': 3, 'id': 2008291, 'country': 'PT', 'sunrise': 1612339300, 'sunset': 1612377766}",2264557,,,,0,2264557,Ponta do Sol,200
